,DATE,Miscellaneous goods and services,Insurance and financial services,Restaurants and hotels,Education,Recreation and culture,Communication,Transport,Health,"Furnishings, household equipment and routine household maintenance","Housing, water, electricity, gas and other fuels",Clothing and footwear,Tobacco,Food and beverages,General Index
0,2018-01-01,119.29635820051159,100,117.79883173564929,118.16223486845362,93.21600832932504,105.72141895771583,112.24801750318815,102.74117707476248,110.24256340344643,111.38797054266215,115.97982302779064,172.38478584067602,106.51928134894675,111.59150600089183
1,2018-02-01,119.63388500045373,100,117.82260576464532,118.16223486845362,91.93239147306797,105.79649825971971,112.75458588063326,102.7457385761175,112.13288866557976,111.00801584106092,114.85531676930327,172.38478584067602,105.84294988992858,111.43308330205028
2,2018-03-01,118.81240417345988,100,117.69870287353335,118.16223486845362,91.1681853176223,105.77716482846706,111.93329108208465,102.7282349026538,112.2584208184667,110.55468214335443,115.84093744544313,172.38478584067602,105.51114123505236,111.05933222319887
3,2018-04-01,119.23628476779275,100,117.58229952449749,118.16209327124105,92.40119313760977,105.66719447208193,110.6987542459253,102.73551451949487,112.10994143089661,110.08933688028199,115.19560754119571,172.29692706527015,105.20473321224102,110.70828793855752
4,2018-05-01,118.3352230916217,100,117.20764943066098,118.16209327124105,92.6935042700884,105.50080829359563,113.27510285566025,102.73551451949487,112.12415196846572,109.62202223288078,115.19560754119571,172.29867399446258,105.17861580613331,110.70758881414989
5,2018-06-01,117.7780134362917,100,117.09748581890847,118.16209327124105,92.04147971604132,105.40070810132075,117.75122816857375,102.7490200204529,112.15340897579593,109.15004316626454,107.15431883792974,172.29867399446258,106.33290447934283,110.90874022489663
6,2018-07-01,117.7852911376988,100,118.10156604145645,118.16209327124105,94.36242029782863,105.436979167781,118.21824961141925,102.33039780477206,112.78557384933868,108.53753163735433,107.15431883792974,177.3267108401546,106.35906079116964,110.82906419822606
7,2018-08-01,117.30548308018038,100,118.1385751344797,118.16209327124105,96.73177123146917,105.60346431204817,122.92179258565619,102.33039780477206,112.8606155550603,107.88556276130883,107.15431883792974,177.3267108401546,106.17290751043329,111.0611171161932
8,2018-09-01,117.13372315354087,100,118.06877679478944,118.19230871391768,90.2948473956528,105.63558763979582,117.70583292157713,102.31575650974212,112.81399157832534,107.28598805059073,106.15756949911301,177.3267108401546,106.58345846183694,110.11870519879479
9,2018-10-01,114.02965275259838,100,118.41965910337684,118.19230871391768,91.76690032677125,105.48255113764311,117.06110487727908,102.31575650974212,113.4454649890239,106.62932783217573,106.15756949911301,177.3267108401546,107.31573395482346,109.74881527868412
